               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.056536,            0.010665,            0.012244,             0.77103,             0.60306,             0.78227,             0.34638,            0.048699,           0.0065406,           0.0079661,           0.0030702,           0.0030702,             0.07077
                  81,            0.055999,             0.01244,            0.014496,             0.77874,             0.84976,             0.92369,             0.38082,            0.046462,           0.0063108,           0.0076093,           0.0031042,           0.0031042,            0.070404
                  82,            0.049364,            0.011138,            0.013055,             0.61768,              0.9066,             0.78183,             0.28776,            0.042915,           0.0062082,           0.0072766,           0.0031381,           0.0031381,            0.070038
                  83,            0.051287,            0.011155,            0.011247,             0.70684,             0.79038,              0.7938,              0.3905,              0.0509,            0.006125,           0.0072494,           0.0031719,           0.0031719,            0.069672
                  84,            0.056453,            0.010216,            0.011413,             0.63246,             0.74759,             0.70857,             0.27446,            0.057086,           0.0059179,           0.0072163,           0.0032055,           0.0032055,            0.069305
                  85,            0.060318,            0.010161,              0.0118,             0.69465,             0.85946,             0.78784,             0.27768,            0.060257,           0.0058952,           0.0071575,           0.0032389,           0.0032389,            0.068939
                  86,            0.065238,           0.0088097,            0.011024,             0.68039,             0.77358,             0.77745,             0.29014,            0.056014,           0.0060239,           0.0073179,           0.0032722,           0.0032722,            0.068572
                  87,            0.060828,            0.010313,            0.010107,             0.73954,             0.73352,             0.76825,             0.29442,            0.053211,           0.0059491,           0.0073023,           0.0033054,           0.0033054,            0.068205
                  88,            0.059828,            0.009483,            0.010079,             0.63022,             0.80721,             0.82358,             0.23651,              0.0571,           0.0059569,           0.0073093,           0.0033384,           0.0033384,            0.067838
                  89,            0.055453,            0.010597,            0.011005,             0.66674,             0.64739,             0.78801,             0.26388,            0.049155,           0.0061747,           0.0074967,           0.0033713,           0.0033713,            0.067471
                  90,            0.056335,            0.011983,             0.01083,             0.66749,             0.61001,             0.70467,             0.22678,            0.054833,           0.0060028,           0.0074738,            0.003404,            0.003404,            0.067104
                  91,            0.056906,            0.010415,            0.012022,             0.63385,             0.82429,             0.78075,             0.39486,            0.042369,            0.006182,            0.007349,           0.0034365,           0.0034365,            0.066737
                  92,             0.05365,           0.0093823,            0.010158,             0.73244,             0.70306,             0.75627,             0.27484,            0.059445,           0.0058816,            0.007054,           0.0034689,           0.0034689,            0.066369
                  93,            0.065768,            0.010106,            0.011309,             0.50752,             0.70333,             0.62158,             0.23145,            0.057621,           0.0060107,           0.0068673,           0.0035011,           0.0035011,            0.066001
                  94,            0.060981,            0.011234,           0.0098498,             0.58006,              0.8623,              0.7586,             0.32232,             0.04853,           0.0064436,           0.0068811,           0.0035332,           0.0035332,            0.065633
                  95,            0.054894,           0.0098537,            0.011939,             0.76639,             0.99933,             0.94336,             0.40735,            0.046751,           0.0062429,           0.0067166,           0.0035651,           0.0035651,            0.065265
                  96,             0.05701,           0.0096989,            0.010546,             0.74912,             0.85022,             0.86265,             0.25625,             0.05232,           0.0061543,           0.0066236,           0.0035968,           0.0035968,            0.064897
                  97,            0.059671,           0.0090136,           0.0091578,             0.79654,             0.81641,             0.92567,             0.47292,            0.053786,           0.0061652,           0.0064782,           0.0036284,           0.0036284,            0.064528
                  98,            0.058211,            0.010134,            0.010218,             0.64741,             0.94402,             0.81844,             0.35546,            0.045776,           0.0063406,           0.0065478,           0.0036598,           0.0036598,             0.06416
                  99,            0.048446,            0.010302,            0.010947,             0.59095,             0.88422,             0.80798,             0.41545,            0.039221,           0.0064052,           0.0064851,           0.0036911,           0.0036911,            0.063791
                 100,            0.049085,            0.010828,           0.0092798,             0.94282,             0.96296,             0.96738,             0.52309,             0.05342,            0.005797,           0.0065224,           0.0037221,           0.0037221,            0.063422
                 101,             0.05969,           0.0091764,           0.0090089,             0.85995,             0.85673,             0.90414,             0.39022,            0.048361,           0.0059168,           0.0062922,            0.003753,            0.003753,            0.063053
                 102,            0.051685,            0.009136,            0.010549,             0.85532,              0.9212,             0.90569,             0.35842,            0.052175,           0.0055716,           0.0063942,           0.0037838,           0.0037838,            0.062684
                 103,            0.049919,            0.010217,           0.0097614,             0.73947,             0.96914,             0.90836,             0.45588,            0.037129,           0.0057754,           0.0062377,           0.0038143,           0.0038143,            0.062314
                 104,            0.047257,            0.010442,            0.010435,             0.79849,             0.98551,             0.91993,             0.54018,            0.041145,           0.0057091,            0.006114,           0.0038447,           0.0038447,            0.061945
                 105,            0.049365,           0.0093801,            0.008686,             0.55868,             0.90741,             0.74024,             0.36757,            0.054932,           0.0054362,           0.0057742,           0.0038749,           0.0038749,            0.061575
                 106,            0.058166,            0.010751,           0.0098103,             0.61923,             0.99712,              0.8718,             0.39751,            0.044109,           0.0055939,           0.0056786,            0.003905,            0.003905,            0.061205
                 107,            0.053482,            0.010264,           0.0089313,             0.62881,             0.97164,             0.88615,             0.37126,            0.047149,            0.005557,           0.0057652,           0.0039348,           0.0039348,            0.060835
                 108,            0.055171,            0.010528,           0.0090284,              0.7597,             0.92702,             0.88509,             0.47142,            0.043059,           0.0055772,           0.0058035,           0.0039645,           0.0039645,            0.060465
                 109,             0.04759,           0.0093262,           0.0085702,             0.55828,             0.90174,             0.80658,             0.34317,            0.046131,           0.0056337,            0.005741,            0.003994,            0.003994,            0.060094
                 110,            0.049706,           0.0092602,           0.0089421,             0.45692,             0.94287,             0.68384,             0.28539,            0.049618,           0.0057333,           0.0056761,           0.0040233,           0.0040233,            0.059723
                 111,            0.053337,            0.010943,           0.0085313,             0.69702,              0.9425,             0.92236,             0.56232,            0.037435,           0.0058102,            0.005888,           0.0040525,           0.0040525,            0.059352
                 112,            0.049007,           0.0095065,           0.0098288,             0.60137,             0.90741,             0.94146,             0.45414,            0.045728,           0.0056874,           0.0059878,           0.0040814,           0.0040814,            0.058981
                 113,            0.047358,            0.010537,           0.0081632,             0.73543,             0.96296,             0.92438,             0.40235,            0.042118,           0.0056253,            0.005861,           0.0041102,           0.0041102,             0.05861
                 114,             0.05124,            0.010135,           0.0098382,             0.69482,             0.92382,             0.84064,             0.35692,            0.049564,           0.0056667,           0.0056991,           0.0041388,           0.0041388,            0.058239
                 115,            0.057148,           0.0091977,           0.0081363,             0.55536,              0.8866,              0.7401,             0.31169,            0.049577,           0.0056149,           0.0056263,           0.0041672,           0.0041672,            0.057867
                 116,            0.052429,           0.0097551,           0.0079258,              0.6956,             0.83697,             0.82241,             0.49264,            0.047539,           0.0055756,           0.0058462,           0.0041954,           0.0041954,            0.057495
                 117,            0.047685,             0.01058,           0.0083897,             0.85732,             0.96332,             0.96089,              0.5885,            0.037975,           0.0053628,           0.0060298,           0.0042234,           0.0042234,            0.057123
                 118,            0.044304,            0.010245,           0.0085954,             0.83426,             0.94444,             0.95854,              0.5944,            0.040274,           0.0050225,           0.0065371,           0.0042513,           0.0042513,            0.056751
                 119,             0.04607,           0.0088325,           0.0082847,              0.7894,             0.94316,             0.92958,             0.44252,            0.042076,           0.0049552,           0.0065852,           0.0042789,           0.0042789,            0.056379
                 120,            0.046142,           0.0091144,           0.0093477,             0.67867,             0.96221,             0.94817,             0.53746,            0.037546,           0.0050331,            0.006382,           0.0043064,           0.0043064,            0.056006
                 121,            0.046836,           0.0098062,           0.0087163,             0.57183,             0.90643,               0.792,             0.33849,            0.048638,           0.0050637,           0.0063654,           0.0043336,           0.0043336,            0.055634
                 122,            0.051197,           0.0078389,           0.0085444,             0.68937,              0.9258,             0.86544,             0.36102,            0.043612,           0.0049812,            0.005921,           0.0043607,           0.0043607,            0.055261
                 123,            0.048856,             0.00978,           0.0083488,             0.79903,             0.85145,             0.81965,              0.2989,            0.043921,            0.005052,           0.0056494,           0.0043876,           0.0043876,            0.054888
                 124,            0.045454,            0.009273,           0.0081981,             0.65332,             0.77006,             0.80618,             0.37259,            0.038566,           0.0051596,           0.0055977,           0.0044142,           0.0044142,            0.054514
                 125,            0.039634,            0.009328,            0.007472,             0.65037,             0.94194,             0.78198,             0.38546,            0.041944,           0.0052299,           0.0053814,           0.0044407,           0.0044407,            0.054141
                 126,            0.055464,           0.0074867,            0.008081,             0.60442,             0.75029,             0.76523,             0.24075,            0.059214,           0.0050187,           0.0051605,            0.004467,            0.004467,            0.053767
                 127,            0.072859,           0.0076511,            0.007672,             0.61625,             0.66667,               0.728,              0.3164,            0.065875,           0.0049057,           0.0053652,           0.0044931,           0.0044931,            0.053393
                 128,            0.070615,           0.0088801,           0.0088339,             0.90345,             0.70725,             0.85674,             0.35486,            0.055296,           0.0052969,           0.0057577,           0.0045189,           0.0045189,            0.053019
                 129,            0.064442,           0.0092984,           0.0079316,             0.91843,             0.73752,             0.90798,             0.46692,            0.046236,           0.0055698,            0.006208,           0.0045446,           0.0045446,            0.052645
                 130,            0.053206,           0.0094259,            0.010153,             0.87899,             0.69513,             0.88978,             0.40124,            0.042872,            0.005933,           0.0067238,           0.0045701,           0.0045701,             0.05227
                 131,            0.045302,            0.011932,            0.012114,             0.85886,             0.98247,             0.97279,             0.60877,            0.033723,           0.0057025,           0.0067041,           0.0045953,           0.0045953,            0.051895
                 132,            0.044483,           0.0093673,           0.0091472,             0.84025,             0.99968,             0.89529,             0.48653,            0.038552,           0.0053316,           0.0060534,           0.0046204,           0.0046204,             0.05152
                 133,            0.052415,            0.010396,           0.0099168,             0.74162,             0.97852,             0.90672,             0.38482,            0.038646,            0.005006,            0.005695,           0.0046453,           0.0046453,            0.051145
                 134,            0.044207,            0.009634,           0.0090374,             0.75601,             0.87884,             0.93079,              0.4653,             0.04159,           0.0049318,           0.0054126,           0.0046699,           0.0046699,             0.05077
                 135,            0.057228,           0.0092869,           0.0076149,             0.58019,             0.88838,             0.70635,             0.20276,            0.063726,           0.0049496,           0.0051858,           0.0046944,           0.0046944,            0.050394
                 136,            0.070735,           0.0088541,           0.0073895,             0.61919,              0.7037,             0.70249,             0.22051,            0.061265,           0.0047785,           0.0052917,           0.0047186,           0.0047186,            0.050019
                 137,            0.063073,           0.0082856,           0.0083268,             0.57669,             0.96899,             0.79165,             0.35429,            0.047085,           0.0049049,           0.0055504,           0.0047426,           0.0047426,            0.049643
                 138,            0.056114,           0.0092132,           0.0083133,             0.52351,             0.90741,             0.76637,             0.31145,            0.050295,           0.0049726,           0.0059321,           0.0047665,           0.0047665,            0.049266
                 139,            0.057138,           0.0089016,            0.010107,              0.6446,             0.91989,             0.83532,             0.41161,            0.042431,           0.0052918,           0.0062118,           0.0047901,           0.0047901,             0.04889
                 140,             0.04776,             0.01075,            0.010526,              0.7768,             0.96194,             0.94104,             0.54759,            0.035372,           0.0053671,           0.0060956,           0.0048135,           0.0048135,            0.048513
                 141,            0.048634,            0.010081,            0.008426,             0.63994,             0.92593,             0.89385,             0.26888,            0.052644,           0.0048974,           0.0057185,           0.0048367,           0.0048367,            0.048137
                 142,            0.056366,           0.0085716,           0.0076195,                0.74,             0.94444,             0.91241,             0.43198,            0.044655,           0.0049856,           0.0055652,           0.0048596,           0.0048596,             0.04776
                 143,            0.047542,           0.0095657,           0.0086549,             0.58987,                   1,             0.84592,             0.30471,            0.042258,           0.0050159,           0.0051665,           0.0048824,           0.0048824,            0.047382
                 144,              0.0515,            0.010022,           0.0083201,             0.60185,             0.99477,             0.86511,             0.42583,             0.04296,           0.0049889,           0.0051275,            0.004905,            0.004905,            0.047005
                 145,            0.052452,           0.0095751,           0.0079432,             0.73311,             0.88024,             0.87954,             0.40072,            0.043781,           0.0049715,           0.0051943,           0.0049273,           0.0049273,            0.046627
                 146,            0.042062,           0.0088547,           0.0079445,             0.84745,                   1,             0.97568,             0.52733,            0.033916,           0.0048709,           0.0056013,           0.0049494,           0.0049494,            0.046249
                 147,            0.046634,           0.0095035,            0.008761,             0.82074,             0.79651,             0.84793,             0.48147,            0.051693,           0.0049415,           0.0058722,           0.0049713,           0.0049713,            0.045871
                 148,            0.060845,           0.0083588,           0.0094222,             0.77704,             0.91546,             0.88279,             0.42436,            0.045971,           0.0048478,           0.0061864,            0.004993,            0.004993,            0.045493
                 149,            0.052091,           0.0084356,           0.0096484,             0.74752,                   1,             0.92337,             0.40051,            0.047282,            0.004952,           0.0062922,           0.0050145,           0.0050145,            0.045114
                 150,            0.058761,           0.0088796,           0.0092506,             0.83093,             0.77778,              0.8352,             0.29527,            0.052035,           0.0048037,            0.006536,           0.0050357,           0.0050357,            0.044736
                 151,            0.062816,            0.007637,            0.009163,             0.67941,             0.79565,             0.79756,             0.34569,            0.049502,           0.0048327,            0.006515,           0.0050568,           0.0050568,            0.044357
                 152,            0.050984,           0.0090322,           0.0091577,             0.68182,             0.78171,              0.8082,               0.426,            0.043992,             0.00497,           0.0066302,           0.0050776,           0.0050776,            0.043978
                 153,            0.047246,           0.0094645,            0.010182,             0.65708,             0.88889,             0.86859,             0.50497,            0.038684,           0.0049282,           0.0063851,           0.0050982,           0.0050982,            0.043598
                 154,            0.046338,           0.0091851,           0.0082196,             0.67709,             0.88423,             0.91122,             0.56744,            0.036798,            0.004908,             0.00608,           0.0051186,           0.0051186,            0.043219
                 155,            0.039484,           0.0090728,           0.0090366,             0.91643,             0.77778,             0.93417,             0.63435,            0.038076,           0.0046372,           0.0056087,           0.0051387,           0.0051387,            0.042839
                 156,            0.052327,           0.0080368,            0.007333,             0.91287,             0.77778,             0.89108,             0.46333,             0.04914,           0.0046868,           0.0055033,           0.0051586,           0.0051586,            0.042459
                 157,            0.056703,           0.0092733,           0.0073996,             0.91542,             0.81481,             0.92021,             0.50425,            0.046223,            0.004705,           0.0056136,           0.0051784,           0.0051784,            0.042078
                 158,            0.046995,           0.0090186,           0.0088284,             0.81169,                   1,             0.98302,             0.69763,            0.033937,           0.0048254,           0.0058518,           0.0051978,           0.0051978,            0.041698
